layer,feature,label,f1_score,accuracy,precision,recall,main_theme,sub_theme
4,111,Names and significant descriptors in context,0.65,0.569,0.867,0.52,And & Contexts,And Words
10,392,Focus on technical and financial terms in stock and news analysis,0.695,0.554,0.75,0.647,And & Contexts,And Technical
4,156,Financial news article structure and content indicators,0.729,0.6,0.778,0.686,And & Contexts,And News
10,245,"Financial and business-related content, including stock updates and analyst insights.",0.811,0.692,0.768,0.86,And & Contexts,And Concepts
28,268,"Denotes time, context, or condition in financial and business contexts.",0.71,0.585,0.786,0.647,And & Contexts,And Contexts
28,277,Financial metrics and stock performance indicators,0.778,0.692,0.897,0.686,And & Metrics,And Performance
10,356,Verbs indicating states or actions in financial and business contexts,0.784,0.662,0.769,0.8,And & Contexts,And States
28,31,"Financial and business-related terms, including time periods and metrics",0.841,0.738,0.804,0.882,And & Time,And Concepts
16,397,Financial performance in specific quarters,0.375,0.385,0.857,0.24,And & Economic,And Performance
4,214,Financial entities and locations in market contexts,0.747,0.646,0.85,0.667,And & Contexts,And Contexts
4,67,Common punctuation and conjunctions in formal or business contexts,0.271,0.338,0.889,0.16,And & Contexts,And Punctuation
4,395,Adverbs and adverbial forms modifying actions or states in financial contexts,0.617,0.523,0.806,0.5,And & Contexts,And States
4,252,"Decline, death, and financial downturns in stocks and health contexts",0.441,0.415,0.833,0.3,And & Contexts,And Contexts
10,127,"Fragments of company names, financial terms, and product names",0.867,0.769,0.778,0.98,And & Names,And Names
28,360,Movement or change in financial contexts,0.61,0.508,0.781,0.5,And & Contexts,Contexts And
16,173,"Financial metrics, stock performance, and market-related terms",0.745,0.6,0.731,0.76,And & Metrics,And Stock
4,310,Sentence or clause boundaries in financial and news text,0.466,0.4,0.739,0.34,And & Contexts,Sentence And
22,99,Temporal transitions and conditions in financial and market contexts,0.582,0.492,0.793,0.46,And & Economic,And Contexts
4,254,"Sentence boundary marker, specifically periods.",0.533,0.72,0.8,0.4,Sentence & Marker,Sentence Boundary
4,202,"Business and financial terms, including stocks, markets, and companies",0.826,0.708,0.763,0.9,And & Contexts,And Contexts
22,399,Financial and market-related terms and concepts,0.788,0.662,0.759,0.82,And & Economic,And Stock
4,187,Financial metrics and company performance indicators,0.731,0.615,0.81,0.667,And & Metrics,And Performance
10,385,Nvidia's GPU technology and market presence,0.4,0.4,0.867,0.26,And & Contexts,And Contexts
10,233,"Financial and business actions, states, or events",0.826,0.708,0.763,0.9,And & Contexts,And States
22,11,"Financial and economic news, market movements, and policy discussions",0.796,0.677,0.774,0.82,And & Economic,And Economic
4,31,"Financial and business-related terms, focusing on time, performance, and expectations.",0.901,0.82,1.0,0.82,And & Contexts,And Concepts
22,318,Negations and low-impact events in business contexts,0.424,0.415,0.875,0.28,And & Contexts,And Contexts
10,18,"Common punctuation, short words, and parts of words in financial/news contexts",0.844,0.738,0.78,0.92,And & Contexts,And Words
4,289,Financial actions and economic indicators in business contexts,0.781,0.646,0.745,0.82,And & Contexts,And Contexts
4,216,"Digits in financial figures, especially millions, percentages, and years.",0.816,0.708,0.792,0.84,And & Contexts,And Values
28,187,"Company names, stock symbols, and financial terms",0.812,0.708,0.82,0.804,And & Names,And Names
22,239,Fragmented company names and financial terms,0.818,0.692,0.763,0.882,And & Names,And Names
22,82,Financial performance metrics and trends in business segments and markets.,0.719,0.615,0.842,0.627,And & Metrics,And Performance
28,76,Numerical values and financial metrics in stock market and economic contexts,0.78,0.723,1.0,0.64,And & Metrics,And Values
16,220,"Transitions, contrasts, and conditions in business and financial contexts",0.528,0.477,0.864,0.38,And & Contexts,Contexts And
10,169,Prepositions and articles in location or time contexts,0.175,0.277,0.714,0.1,And & Time,And Contexts
28,95,Actions or events leading to outcomes or states,0.451,0.4,0.8,0.314,And & Contexts,And States
10,394,Financial performance and market conditions indicators,0.745,0.631,0.814,0.686,And & Economic,And Performance
28,274,Financial and business-related terms and actions,0.85,0.738,0.774,0.941,And & Contexts,And Concepts
10,75,Beginning or continuation of news article titles or sections,0.658,0.585,0.897,0.52,And & Contexts,And News
28,373,Metadata and structural elements of news articles and financial content,0.659,0.569,0.871,0.529,And & Contexts,And Elements
22,294,News article titles and financial market updates,0.701,0.54,1.0,0.54,And & Contexts,And News
16,142,Financial years or dates in the 2020s,0.551,0.523,1.0,0.38,And & Contexts,And Contexts
16,384,Financial metrics and performance indicators,0.585,0.477,0.75,0.48,And & Metrics,And Performance
22,319,"Business and finance terms, emphasizing specific entities and market dynamics",0.792,0.662,0.75,0.84,And & Contexts,And Tech
16,143,Financial metrics and percentages in stock-related contexts,0.691,0.615,0.903,0.56,And & Metrics,And Metrics
16,383,"Quantifiers and modifiers indicating scale, extent, or degree",0.701,0.646,1.0,0.54,And & Contexts,And Contexts
22,362,Enhancing business capabilities and outcomes through strategic actions and investments.,0.113,0.277,1.0,0.06,And & Contexts,And Contexts
4,15,"Sentence boundary marker, specifically periods.",0.5,0.68,0.8,0.364,Sentence & Marker,Sentence Boundary
16,189,Comparative and superlative modifiers in financial and market contexts,0.323,0.354,0.833,0.2,And & Economic,And Contexts
16,187,"Financial and stock market-related content, including company news and analysis.",0.807,0.677,0.759,0.863,And & Economic,And Stock
4,237,News article titles and financial content markers,0.714,0.569,0.745,0.686,And & Contexts,And News
28,131,Titles and formal business communication terms,0.406,0.415,1.0,0.255,And & Contexts,And Contexts
10,363,End of sentences or clauses in financial contexts,0.522,0.56,0.5,0.545,Stock & And,End Sentences
16,136,Capitalized names and brand terms,0.703,0.585,0.8,0.627,And & Contexts,And Contexts
4,374,Dates and days of the week in financial news contexts,0.333,0.385,1.0,0.2,And & Contexts,And News
4,251,Sentence boundary marker,0.37,0.514,0.714,0.25,Sentence & Marker,Sentence Boundary
10,344,Financial and business-specific terms and concepts,0.829,0.708,0.754,0.92,And & Contexts,And Tech
4,399,Financial market terms and AI-related concepts,0.727,0.585,0.75,0.706,And & Economic,And Stock
22,229,Delimiters signaling end of sentences or quotes,0.349,0.369,0.846,0.22,And & Contexts,End Sentences
4,146,Financial and stock market-related terms and concepts,0.796,0.677,0.774,0.82,And & Economic,And Stock
10,212,Temporal and sequential markers in financial and business contexts,0.561,0.446,0.719,0.46,And & Contexts,And Contexts
16,213,End of a sentence or key point in financial or stock-related text.,0.4,0.52,0.4,0.4,Stock & And,Sentence End
4,387,"Contractions, possessives, and year references in financial contexts",0.809,0.723,0.884,0.745,And & Contexts,Contexts And
10,263,Common punctuation and functional words in financial text,0.493,0.462,0.895,0.34,And & Contexts,And Words
28,174,Punctuation and common words signaling text structure or formatting,0.742,0.646,0.846,0.66,And & Contexts,And Words
4,133,"Financial and news-related terms, including dates, currency, and company names.",0.815,0.692,0.759,0.88,And & Names,And Names
22,60,"Financial and economic terms, focusing on market performance and company news.",0.815,0.692,0.759,0.88,And & Economic,And Economic
28,42,Financial transactions and market performance indicators,0.913,0.84,1.0,0.84,And & Economic,And Performance
10,238,Temporal or specific date references,0.541,0.477,0.833,0.4,And & Contexts,And Tech
10,35,"Transitions, continuations, and conditions in financial and market contexts",0.522,0.492,0.947,0.36,And & Economic,And Contexts
22,107,"Business and financial events, metrics, and strategic actions",0.844,0.738,0.78,0.92,And & Contexts,And Contexts
16,27,Ongoing business and technology processes and actions,0.768,0.646,0.776,0.76,And & Contexts,And Contexts
28,265,Key terms in financial and tech news headlines,0.745,0.631,0.795,0.7,And & Contexts,And Tech
4,306,Financial and company-specific terms and symbols,0.818,0.692,0.75,0.9,And & Contexts,And Tech
16,182,"Financial and economic policy discussions, including rates, regulations, and market impacts.",0.733,0.631,0.825,0.66,And & Economic,And Economic
10,184,"Expressions of confidence, surprise, or specific actions in business contexts.",0.493,0.462,0.895,0.34,And & Contexts,And Contexts
4,85,"Financial and economic metrics, including growth, scale, and market performance.",0.796,0.677,0.774,0.82,And & Economic,And Economic
10,177,"Company actions, customer interactions, and business strategies",0.629,0.492,0.718,0.56,And & Contexts,And Contexts
4,27,Prepositions and articles in financial and business contexts,0.681,0.554,0.756,0.62,And & Contexts,And Contexts
22,157,Business actions and market dynamics,0.804,0.677,0.754,0.86,And & Economic,And States
22,4,"Financial and business terms, stock performance, company names, transactions",0.832,0.738,0.824,0.84,And & Names,And Names
10,360,Time-related financial events and market activities,0.733,0.631,0.825,0.66,And & Economic,And Contexts
10,193,"Sentence boundary marker, specifically periods.",0.471,0.64,0.667,0.364,Sentence & Marker,Sentence Boundary
10,101,"Financial and market-related terms, including company names and market activities.",0.847,0.738,0.77,0.94,And & Names,And Names
16,385,"References to financial analysts, publications, and specific articles",0.592,0.554,1.0,0.42,And & Contexts,And Tech
10,30,"Specific company names, financial terms, and key business events",0.792,0.662,0.75,0.84,And & Names,And Names
22,310,Punctuation and common words in financial news,0.388,0.369,0.765,0.26,And & Contexts,And Words
22,15,End of sentence in financial or stock-related context,0.519,0.48,0.412,0.7,Stock & And,Sentence End
16,30,Focus on sentence structure and formatting elements,0.0,0.231,0.0,0.0,And & Contexts,And Punctuation
10,69,"Years in financial and business contexts, 2000s and 2020s",0.611,0.569,1.0,0.44,And & Contexts,And Contexts
28,36,"Names and specific entities, particularly people and companies",0.791,0.708,0.878,0.72,And & Contexts,And Tech
16,117,Publication and distribution of financial news and reports,0.613,0.554,0.92,0.46,And & Contexts,And News
16,367,Financial and economic reporting punctuation and terms,0.774,0.677,0.837,0.72,And & Economic,And Economic
22,217,Key business and financial terms and actions,0.811,0.692,0.768,0.86,And & Contexts,And Contexts
22,91,Financial and business performance indicators,0.659,0.523,0.75,0.588,And & Metrics,And Performance
16,390,Financial and business-related place names and locations,0.813,0.738,0.902,0.74,And & Contexts,And Concepts
10,10,Introduces or summarizes detailed information in financial/news contexts,0.742,0.646,0.868,0.647,And & Contexts,And News
28,220,"Financial and economic terms, focusing on dividends and stock performance",0.659,0.554,0.824,0.549,And & Economic,And Economic
4,225,"Financial and market-related concepts, including stocks, sectors, and economic indicators.",0.936,0.88,1.0,0.88,And & Economic,And Stock
22,65,Financial and technological terms in investment and AI contexts,0.792,0.662,0.75,0.84,And & Contexts,And Contexts
28,257,"References to political figures, financial transactions, and corporate actions",0.777,0.646,0.755,0.8,And & Contexts,And Contexts
4,245,Numerical and temporal references in financial and business contexts,0.779,0.677,0.822,0.74,And & Contexts,And Contexts
10,11,Negation and absence of action or change,0.246,0.338,1.0,0.14,And & Contexts,And Contexts
4,259,Words indicating additional or contrasting business information,0.543,0.431,0.71,0.44,And & Contexts,And Words
28,255,Common financial and tech sector terms and numbers,0.836,0.723,0.767,0.92,And & Contexts,And Tech
22,329,"Corporate and market-related terms, indicating business and financial contexts.",0.815,0.692,0.759,0.88,And & Economic,And Stock
10,56,"Sentence boundary marker, specifically period.",0.4,0.64,0.6,0.3,Sentence & Marker,Sentence Boundary
10,36,"Financial market and economic indicators, specific companies, and sectors",0.807,0.677,0.746,0.88,And & Economic,And Economic
4,69,"Financial and real estate investment concepts, including portfolio building, asset sales, and market trends.",0.717,0.6,0.805,0.647,And & Economic,And Contexts
16,32,"Business and financial terms, including corporate actions and transactions.",0.808,0.692,0.778,0.84,And & Contexts,And Contexts
16,294,Punctuation and transition words in financial/news articles,0.361,0.22,1.0,0.22,And & Contexts,And Words
28,372,Connective words in financial and business contexts,0.787,0.692,0.841,0.74,And & Contexts,And Contexts
4,242,Punctuation and contractions in financial and stock-related text,0.674,0.554,0.789,0.588,Stock & And,And Contexts
16,227,Business and finance entities or sectors,0.891,0.815,0.817,0.98,And & Contexts,And Contexts
10,97,"Financial and investment terms, focusing on market activities and investor behavior.",0.737,0.615,0.778,0.7,And & Economic,And Performance
16,46,"Numerical values in financial contexts, often stock prices or growth rates.",0.667,0.554,0.784,0.58,And & Contexts,And Values
22,102,"Actions, processes, and technical terms in technology and finance",0.792,0.677,0.8,0.784,And & Contexts,And Technical
22,230,"Personal pronouns and punctuation, indicating direct address and sentence structure",0.038,0.231,1.0,0.02,And & Contexts,And Punctuation
22,57,Facilitators of process or change actions,0.271,0.338,0.889,0.16,And & Contexts,And Contexts
22,241,Focus on partial word segments and common prefixes/suffixes,0.86,0.754,0.778,0.961,And & Contexts,And Contexts
22,193,End of sentence or significant clause in financial contexts,0.545,0.6,0.545,0.545,Sentence & Marker,Sentence End
10,5,Pronouns and possessive adjectives referring to entities or actions,0.457,0.415,0.8,0.32,And & Contexts,And Contexts
28,275,Functional words and symbols indicating structure or emphasis,0.557,0.462,0.786,0.431,And & Contexts,And Punctuation
16,218,"Sentence termination, marking the end of a statement or thought.",0.308,0.64,0.667,0.2,And & Contexts,Sentence And
16,102,"Names, specific terms, and punctuation in financial contexts",0.779,0.677,0.822,0.74,And & Contexts,Contexts And
22,373,"Financial and stock-related terms, including company names and symbols",0.829,0.708,0.754,0.92,And & Names,And Names
10,321,"Financial and technical symbols, abbreviations, and terms",0.807,0.677,0.746,0.88,And & Time,And Technical
16,262,Financial article structure and key terms,0.771,0.662,0.804,0.74,And & Contexts,And News
16,85,"Dates, financial figures, and formal document structures",0.5,0.354,0.636,0.412,And & Contexts,And Values
10,196,"Financial metrics, market segments, and economic indicators",0.788,0.662,0.759,0.82,And & Metrics,And Metrics
16,245,"Financial and business terms, emphasizing growth, revenue, and market performance.",0.804,0.692,0.788,0.82,And & Contexts,And Performance
16,40,Financial and business performance metrics and products,0.854,0.769,0.83,0.88,And & Metrics,And Performance
28,300,Comparative and superlative terms emphasizing degree and extent,0.241,0.323,1.0,0.137,And & Contexts,And Contexts
16,361,Dynamic business and financial activities and movements,0.807,0.677,0.759,0.863,And & Contexts,And Contexts
4,170,Punctuation and financial/temporal terms indicating structure and key events,0.674,0.569,0.806,0.58,And & Contexts,And Punctuation
16,47,Financial and market-related content markers,0.83,0.723,0.786,0.88,And & Economic,And Stock
28,92,End of sentences in financial and stock-related statements.,0.629,0.629,0.733,0.55,Stock & And,End Sentences
4,191,Time periods and financial metrics in market contexts,0.809,0.738,0.923,0.72,And & Time,Time Periods
4,264,"Sentence boundary marker, specifically periods.",0.353,0.56,0.429,0.3,Sentence & Marker,Sentence Boundary
16,258,Modal and auxiliary verbs indicating potential or certainty,0.148,0.292,1.0,0.08,And & Contexts,And Contexts
22,390,Corporate and financial entities and their activities,0.87,0.785,0.81,0.94,And & Contexts,And Contexts
28,256,Actions and states of entities in financial or business contexts,0.829,0.708,0.754,0.92,And & Contexts,And States
4,205,Marks the end of a complete thought or statement in financial news.,0.286,0.6,0.667,0.182,And & Contexts,And News
10,113,"Transitions and states in financial and business contexts, involving predictions and actions.",0.716,0.585,0.756,0.68,And & Contexts,And States
4,103,Temporal references and conditions indicating specific points or sequences in time,0.684,0.615,0.931,0.54,And & Contexts,And Tech
4,42,"Financial metrics and changes, often in percentages",0.522,0.492,0.947,0.36,And & Metrics,And Metrics
4,243,Introduces additional details or qualifications,0.69,0.585,0.811,0.6,And & Contexts,And Contexts
10,239,Financial and stock market-related terms and company names,0.855,0.754,0.783,0.94,And & Names,And Names
16,295,Dates and event times in financial and news contexts,0.448,0.431,0.882,0.3,And & Contexts,And News
22,52,Financial entities and market metrics,0.784,0.677,0.809,0.76,And & Contexts,And Contexts
22,154,Financial performance metrics and growth indicators in business contexts,0.642,0.554,0.839,0.52,And & Metrics,And Performance
16,140,"Financial and business terms, focusing on market dynamics and company performance.",0.781,0.646,0.745,0.82,And & Contexts,And Performance
4,117,Digits and years in financial contexts,0.747,0.646,0.829,0.68,And & Contexts,Contexts And
22,210,"Financial and healthcare business terms, stock market context",0.784,0.677,0.809,0.76,And & Economic,And Performance
22,131,End of sentence or quote in financial/news context,0.464,0.431,0.889,0.314,Sentence & Marker,Sentence End
22,265,Sentence boundaries or completion of clauses,0.241,0.323,0.875,0.14,And & Contexts,Sentence And
16,254,End of sentences in financial and stock-related contexts,0.48,0.48,0.4,0.6,Stock & And,End Sentences
16,358,Financial metrics and growth percentages in stock and economic contexts,0.532,0.431,0.724,0.42,And & Metrics,And Metrics
16,37,End of sentence in financial or stock-related statements.,0.381,0.48,0.364,0.4,Stock & And,Sentence End
10,289,"Punctuation, numbers, and short words in financial and technical contexts",0.836,0.723,0.767,0.92,And & Time,And Technical
28,227,Financial instruments and market-related concepts,0.796,0.677,0.788,0.804,And & Economic,And Stock
10,243,"Financial and stock-related terms, often partial or abbreviated",0.796,0.677,0.788,0.804,Stock & And,And Stock
10,68,"Financial and economic indicators, including investor behavior, market trends, and metrics.",0.733,0.585,0.725,0.74,And & Economic,And Economic
16,156,Financial metrics and business performance indicators,0.722,0.585,0.745,0.7,And & Metrics,And Performance
16,145,"Temporal references in financial contexts, often specific dates or periods.",0.716,0.646,0.967,0.569,And & Contexts,Contexts And
28,237,Fragments of technical or financial terms,0.839,0.723,0.758,0.94,And & Contexts,And Technical
4,233,"Actions, relationships, and positions in business and finance contexts",0.765,0.631,0.75,0.78,And & Contexts,And Contexts
10,83,Punctuation and short words indicating sentence or section boundaries,0.658,0.6,0.962,0.5,And & Contexts,And Words
16,374,Connects strategic business actions or outcomes,0.667,0.569,0.824,0.56,And & Contexts,And States
22,337,Commas separating clauses or listing items/entities,0.113,0.277,1.0,0.06,And & Contexts,And Contexts
4,175,Temporal and financial context markers in financial reports and stock analysis,0.7,0.538,0.7,0.7,And & Contexts,And Contexts
16,31,"Economic and market terms, focusing on financial performance and regulatory changes.",0.82,0.723,0.82,0.82,And & Economic,And Performance
10,158,"Business and financial terms, including corporate actions and performance indicators.",0.838,0.738,0.8,0.88,And & Economic,And Performance
28,208,"Financial and stock market terms, economic indicators",0.762,0.615,0.741,0.784,And & Economic,And Economic
28,314,"Financial figures, including monetary values, percentages, and dates.",0.723,0.646,0.909,0.6,And & Contexts,And Values
28,349,Capitalized letters in financial and stock-related terms and brand names.,0.788,0.662,0.759,0.82,And & Names,And Names
22,244,Technical and business terms in technology and market contexts,0.891,0.815,0.831,0.961,And & Contexts,And Technical
22,137,AI and technology-related content and investments,0.613,0.554,0.92,0.46,And & Contexts,And Contexts
22,208,Financial and business news terminology and sources,0.8,0.673,0.735,0.878,And & Contexts,And Words
4,43,Financial and stock-related terms and company names,0.826,0.708,0.763,0.9,And & Names,And Names
4,63,Temporal and transactional aspects of financial and business contexts,0.804,0.677,0.754,0.86,And & Contexts,And Contexts
16,161,Financial and tech sector abbreviations and partial words,0.733,0.585,0.725,0.74,And & Contexts,And Tech
4,262,"Corporate actions, investments, and market performance terms",0.808,0.692,0.778,0.84,And & Economic,And Contexts
28,293,"Introduces or describes new financial or technological concepts, products, or actions.",0.8,0.692,0.8,0.8,And & Contexts,And Contexts
10,357,Collaborative or transactional relationships in business contexts,0.381,0.4,0.923,0.24,And & Contexts,And Contexts
4,1,"Financial figures and stock prices, emphasizing zeros in large numbers.",0.271,0.338,0.889,0.16,And & Contexts,And Values
22,143,Temporal and positional markers in financial and market contexts,0.756,0.662,0.85,0.68,And & Economic,And Contexts
4,8,"Financial and business terms, focusing on economic activities and metrics",0.824,0.723,0.808,0.84,And & Contexts,And Performance
22,214,Trends and movements in financial and market contexts,0.739,0.631,0.829,0.667,And & Economic,And Contexts
22,86,Financial metrics and economic performance over specific time periods,0.69,0.585,0.833,0.588,And & Time,Time Periods
28,116,Financial and economic terms and concepts,0.829,0.708,0.767,0.902,And & Economic,And Economic
16,274,"Financial news, stock recommendations, and publication details",0.82,0.723,0.82,0.82,And & Contexts,And News
28,335,"Financial and market-related terms, including company names and economic indicators.",0.865,0.769,0.787,0.96,And & Names,And Names
22,80,Common functional words in financial and economic contexts,0.745,0.631,0.795,0.7,And & Contexts,And Words
4,209,"Financial and business terms, focusing on capital, clients, and corporate activities.",0.74,0.6,0.74,0.74,And & Contexts,And Performance
22,233,Fragmented word parts and common function words,0.86,0.754,0.766,0.98,And & Contexts,And Words
16,365,Transitional phrases and prepositions indicating movement or change in context.,0.138,0.231,0.5,0.08,And & Contexts,And Punctuation
10,116,"Fragments of names, companies, and specific terms in financial and tech news",0.849,0.754,0.804,0.9,And & Contexts,And Tech
16,212,Contextual financial and business-related phrases and terms,0.844,0.738,0.78,0.92,And & Contexts,And Concepts
28,0,Dates and time periods in financial/news contexts,0.525,0.415,0.7,0.42,And & Time,Time Periods
28,193,End of sentence in financial or stock-related contexts,0.652,0.543,0.6,0.714,Stock & And,Sentence End
16,159,"Financial and economic indicators, including interest rates and market conditions.",0.705,0.6,0.816,0.62,And & Economic,And Economic
28,292,Financial and business actions and processes,0.8,0.677,0.764,0.84,And & Contexts,And States
4,255,"Prepositions and temporal markers indicating specific times, sources, or contexts",0.514,0.446,0.792,0.38,And & Contexts,And Tech
4,25,Financial and market-related news and data,0.936,0.88,1.0,0.88,And & Economic,And Stock
28,120,Time periods and financial performance in quarterly or yearly contexts,0.438,0.446,1.0,0.28,And & Time,Time Periods
28,73,"Financial and economic terms, focusing on inflation, guidance, and market performance.",0.435,0.4,0.789,0.3,And & Economic,And Economic
22,97,Uncertainty and caution in financial speculation,0.413,0.431,1.0,0.26,And & Contexts,And Contexts
22,1,"Financial and business-related terms, focusing on market trends and company performance.",0.818,0.692,0.75,0.9,And & Contexts,And Concepts
28,115,"Business and financial terms related to products, revenue, and market dynamics",0.811,0.692,0.768,0.86,And & Economic,And Contexts
22,66,"Indicators of uncertainty, surprise, or significant business events",0.545,0.462,0.778,0.42,And & Contexts,And Words
10,279,Temporal and financial milestones in company histories and market trends.,0.717,0.6,0.786,0.66,And & Economic,And Contexts
16,377,Investor sentiment and market reactions to financial performance,0.493,0.462,0.895,0.34,And & Economic,And Performance
10,40,Financial and technological stock and sector terms,0.72,0.569,0.72,0.72,And & Contexts,And Contexts
28,132,Sentence structure and functional words,0.0,0.215,0.0,0.0,And & Contexts,And Punctuation
22,327,"Names, titles, and actions in business and finance contexts",0.733,0.631,0.825,0.66,And & Contexts,And Contexts
4,275,Financial reporting and specific dates in business contexts,0.479,0.431,0.81,0.34,And & Contexts,And Contexts
4,201,Financial performance and market actions,0.824,0.7,1.0,0.7,And & Economic,And Performance
10,306,"Representation of proper nouns, emphasizing first and last parts of names and company names.",0.848,0.769,0.857,0.84,And & Names,And Names
16,121,"Continuation or progression of actions, processes, or narratives",0.521,0.462,0.826,0.38,And & Contexts,And Contexts
4,287,Financial metrics and company-specific financial details,0.81,0.68,1.0,0.68,And & Metrics,And Metrics
4,84,Definite articles and specific determiners in financial and investment contexts,0.479,0.431,0.81,0.34,And & Contexts,And Tech
16,373,Financial and investment-related terms and company names,0.836,0.723,0.767,0.92,And & Names,And Names
22,176,"Short, common words and numbers in financial or technical contexts",0.862,0.769,0.797,0.94,And & Time,And Technical
4,74,End of sentence punctuation (periods),0.571,0.657,1.0,0.4,Sentence & Marker,Sentence End
28,191,Financial metrics and economic indicators in business performance,0.636,0.508,0.737,0.56,And & Metrics,And Performance
22,116,Financial and business entity references,0.781,0.646,0.745,0.82,And & Contexts,And Contexts
16,256,"Subject or entity in financial/business context, often a company or its performance.",0.76,0.631,0.76,0.76,And & Contexts,And Contexts
28,94,End of sentence or section marker in financial news articles,0.423,0.369,0.714,0.3,Sentence & Marker,Sentence End
10,59,"Financial metrics, stock performance, and market trends",0.846,0.754,0.815,0.88,And & Metrics,And Metrics
28,129,"Financial and business terms indicating trends, actions, and entities",0.841,0.738,0.789,0.9,And & Contexts,And Performance
28,1,"Industry-specific dynamics, including AI, energy, and cloud services",0.349,0.369,0.846,0.22,And & Contexts,And Tech
22,381,Financial strategies and market activities,0.765,0.631,0.765,0.765,And & Economic,And Contexts
4,134,Named entities and financial terms in business contexts,0.87,0.785,0.81,0.94,And & Contexts,And Contexts
22,264,"End of sentence marker, often following key points or actions.",0.64,0.6,0.8,0.533,Sentence & Marker,Sentence End
4,151,High-level business and political leadership and economic activities,0.848,0.769,0.857,0.84,And & Contexts,And Contexts
22,42,Financial and stock-related company names and actions,0.772,0.646,0.78,0.765,And & Names,And Names
16,56,End of sentence marker,0.308,0.64,1.0,0.182,Sentence & Marker,Sentence End
4,309,Large numerical values and percentages in financial contexts,0.767,0.692,0.917,0.66,And & Contexts,And Values
16,395,Transitional and connecting words linking ideas or providing context.,0.323,0.354,0.909,0.196,And & Contexts,And Words
28,251,End of sentences in financial and stock-related contexts.,0.718,0.686,0.737,0.7,Stock & And,End Sentences
28,209,Pronouns and articles indicating subjects and entities in financial contexts,0.722,0.585,0.745,0.7,And & Contexts,Contexts And
10,312,"Financial and business terms, especially stock market and corporate strategies",0.87,0.785,0.81,0.94,And & Contexts,And Performance
4,40,Financial and market-related actions and conditions,0.836,0.723,0.767,0.92,And & Economic,And Stock
28,302,Financial performance and market trends,0.75,0.631,0.783,0.72,And & Economic,And Performance
28,283,Financial performance and market growth indicators,0.667,0.585,0.871,0.54,And & Economic,And Performance
28,113,"Temporal and financial market transitions, focusing on specific events and periods.",0.659,0.523,0.75,0.588,And & Economic,And Tech
28,130,Periods and key detail words signal sentence endings and important information.,0.485,0.514,0.615,0.4,And & Contexts,Sentence And
28,192,Periods denote sentence endings in financial and stock-related content.,0.353,0.56,0.429,0.3,And & Contexts,Sentence And
4,278,Quantitative and comparative financial terms and trends,0.628,0.508,0.75,0.54,And & Contexts,And Contexts
4,301,Specific actions or conditions being discussed or described,0.317,0.338,0.769,0.2,And & Contexts,And Tech
4,169,Metadata and structural elements of news articles and financial reports,0.667,0.615,1.0,0.5,And & Contexts,And Elements
28,157,Positive financial actions and outcomes,0.592,0.42,1.0,0.42,And & Contexts,And Contexts
28,49,Transitions and significant business/financial events,0.619,0.508,0.788,0.51,And & Contexts,And Words
16,73,"Financial and business terms, specific sectors, and products",0.818,0.692,0.763,0.882,And & Contexts,And Performance
4,177,Financial and business entity names and stock-related terms,0.812,0.708,0.804,0.82,And & Names,And Names
28,333,Financial news and stock market analysis terms,0.901,0.82,1.0,0.82,And & Economic,And News
16,86,Financial performance and market expectations,0.682,0.585,0.829,0.58,And & Economic,And Performance
10,358,"Numerical values in financial contexts, often percentages or figures.",0.709,0.646,0.966,0.56,And & Contexts,And Values
28,285,Company growth and potential,0.587,0.523,0.88,0.44,And & Contexts,And Contexts
10,146,"Financial and business metrics, stock performance, and market activities",0.738,0.585,0.717,0.76,And & Metrics,And Performance
28,211,"Technical and financial symbols, numbers, and punctuation in content",0.873,0.785,0.814,0.941,And & Contexts,And Technical
4,52,Dates and numerical values in financial contexts,0.857,0.8,0.951,0.78,And & Contexts,And Values
10,145,Time references or context markers in financial and business contexts,0.681,0.538,0.727,0.64,And & Contexts,And Contexts
22,247,Financial and economic terms indicating market trends and business performance,0.889,0.8,1.0,0.8,And & Economic,And Economic
10,39,Sentence boundaries or end of statements in text,0.375,0.6,0.6,0.273,And & Contexts,Sentence And
10,167,Financial and stock market-related terms and concepts,0.804,0.692,0.788,0.82,And & Economic,And Stock
28,387,"Financial and economic terms, focusing on stocks, dividends, and wealth.",0.9,0.846,0.9,0.9,And & Economic,And Economic
22,39,End of sentences in financial and stock-related contexts,0.56,0.56,0.5,0.636,Stock & And,End Sentences
4,390,Lists or connections in financial and business contexts,0.674,0.554,0.769,0.6,And & Contexts,And Contexts
28,355,Functional words and specific entities in financial and market contexts,0.822,0.708,0.772,0.88,And & Contexts,And Words
28,158,"Financial entities, punctuation, or time-related terms in stock discussions",0.784,0.662,0.784,0.784,And & Contexts,And Contexts
10,206,Key terms and phrases in financial and market news headlines,0.673,0.508,0.702,0.647,And & Contexts,And Contexts
4,228,"Financial success, growth, and significant business achievements",0.723,0.646,0.909,0.6,And & Contexts,And Words
28,369,Financial and business terms indicating market performance and transactions,0.737,0.615,0.778,0.7,And & Contexts,And Performance
16,230,Contrast or continuation in financial narratives,0.729,0.646,0.886,0.62,And & Contexts,And Contexts
28,234,Financial and market-related entities and concepts,0.818,0.692,0.763,0.882,And & Economic,And Stock
